rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_disc,pl_status,pl_mnum,pl_pelink,pl_edelink,st_plx,st_plxerr,st_plxlim,st_plxblend,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_sp,st_spstr,st_sperr,st_splim,st_spblend
1,4 UMa,b,Radial Velocity,1,269.3,1.96,-1.96,0,0.432,0.024,-0.024,0,,,,,,,,,,,,,,,,,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.03,-4.5,0,4415,70,0,0,1.23,0.15,0,0,18.11,1.47,0,0,HD 73108,HIP 42527,4 UMa b,0,1,0,0,0,0,,,,,,,,,,,,,2006,3,0,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b,12.92,0.71,0,0,-56.1,1.2,0,25.9,1.3,0,5.1,K1 III,,0,0
2,6 Lyn,b,Radial Velocity,1,874.774,16.27,-8.47,0,0.059,,,0,,,,,,,,,,,,,,,,,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,2.36,-2.58,0,4978,18,0,0,1.7,0.1,0,0,5.2,0.4,0,0,HD 45410,HIP 31039,6 Lyn b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/6_lyn_b/,http://exoplanets.org/detail/6_Lyn_b,17.56,0.76,0,0,-29.4,0.8,0,-340,0.8,0,5,K0 IV,,0,0
3,7 CMa,b,Radial Velocity,1,763,17,-17,0,0.14,0.06,-0.06,0,,,,,,,,,,,,,,,,,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,0.27,-0.28,0,4792,100,0,0,1.52,0.3,0,0,2.3,0.1,0,0,HD 47205,HIP 31592,7 CMa b,0,1,0,0,0,0,,,,,,,,,,,,,2011,3,0,http://exoplanet.eu/catalog/7_cma_b/,http://exoplanets.org/detail/7_CMa_b,50.41,0.7,0,0,63.3,1.2,0,-69.2,1.1,0,5.1,K1 III,,0,0
4,11 Com,b,Radial Velocity,1,326.03,0.32,-0.32,0,0.231,0.005,-0.005,0,,,,,,,,,,,,,,,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,0,4742,100,0,0,2.7,0.3,0,0,19,2,0,0,HD 107383,HIP 60202,11 Com b,0,1,0,0,0,0,,,,,,,,,,,,,2007,3,0,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,9.04,0.86,0,0,-108.8,1,0,90.5,0.9,0,5,K0 III,,0,0
5,11 UMi,b,Radial Velocity,1,516.22,3.25,-3.25,0,0.08,0.03,-0.03,0,,,,,,,,,,,,,,,,,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,0,4340,70,0,0,1.8,0.25,0,0,24.08,1.84,0,0,HD 136726,HIP 74793,11 UMi b,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,8.37,0.46,0,0,6.1,1.1,0,8.3,1.3,0,5.4,K4 III,,0,0
6,14 And,b,Radial Velocity,1,185.84,0.23,-0.23,0,0,,,0,,,,,,,,,,,,,,,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,0,4813,20,0,0,2.2,0.1,0,0,11,1,0,0,HD 221345,HIP 116076,14 And b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,13.09,0.71,0,0,287.7,1.1,0,-83.6,1.1,0,5,K0 III,,0,0
7,14 Her,b,Radial Velocity,1,1773.4,2.5,-2.5,0,0.369,0.005,-0.005,0,,,,,,,,,,,,,,,,,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.2,0,5311,87,0,0,0.9,0.05,0,0,,,,0,HD 145675,HIP 79248,14 Her b,0,1,0,0,0,0,,,,,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,55.11,0.59,0,0,132.6,1,0,-297,1.1,0,5,K0 IV-V,,0,0
8,16 Cyg B,b,Radial Velocity,1,798.5,1,-1,0,0.681,0.017,-0.017,0,1.68,0.15,-0.15,0,,,,,,,,,,,,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,5674,,0,0,0.99,,0,0,,,,0,HD 186427,HIP 96901,16 Cyg B b,0,1,0,0,0,0,533.93,47.67,-47.67,0,,,,,,,,,1996,3,0,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,,,,,-132,1.2,0,-163,1.2,0,4.25,G2.5 V,,0,0
9,18 Del,b,Radial Velocity,1,993.3,3.2,-3.2,0,0.08,0.01,-0.01,0,,,,,,,,,,,,,,,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,3.56,-3.94,0,4979,18,0,0,2.3,,0,0,8.5,,0,0,HD 199665,HIP 103527,18 Del b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,13.68,0.7,0,0,-49.5,1,0,-35.1,1,0,4.6,G6 III,,0,0
10,24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,0,0.09,0.14,-0.06,0,,,,,,,,,,,,,,,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,5098,44,0,0,1.54,0.08,0,0,4.9,0.08,0,0,HD 90043,HIP 50887,24 Sex b,0,1,0,0,0,0,,,,,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,13.37,0.87,0,0,65.7,0.9,0,-35.1,0.9,0,5,K0 IV,,0,0
